epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1453.27,0.74505,0.51955,0.9915,0.69274,0.78008,0.75816,0.50834,1.18683,1.00358,1.27805,0.000346736,0.000346736,0.000346736
82,1470.94,0.7235,0.4875,0.96449,0.67869,0.80418,0.79508,0.54207,1.177,0.94158,1.26162,0.000330233,0.000330233,0.000330233
83,1488.97,0.69835,0.4689,0.95668,0.70835,0.80125,0.80142,0.54188,1.17287,0.94246,1.24447,0.000313729,0.000313729,0.000313729
84,1506.81,0.70903,0.49094,0.95653,0.71803,0.78164,0.76286,0.53579,1.1889,1.05863,1.25329,0.000297226,0.000297226,0.000297226
85,1526.12,0.69688,0.50545,0.95607,0.72935,0.74443,0.78969,0.54233,1.21185,1.00651,1.28192,0.000280723,0.000280723,0.000280723
86,1543.84,0.69041,0.47774,0.94698,0.73446,0.7393,0.78612,0.54344,1.1802,1.00715,1.28992,0.00026422,0.00026422,0.00026422
87,1561.65,0.69495,0.46483,0.95508,0.74208,0.73342,0.79731,0.55388,1.12648,0.97049,1.22821,0.000247716,0.000247716,0.000247716
88,1581.49,0.69632,0.45887,0.94911,0.75748,0.70677,0.77957,0.54195,1.15012,1.01669,1.23138,0.000231213,0.000231213,0.000231213
89,1598.91,0.69307,0.4714,0.95179,0.72696,0.75279,0.78358,0.55069,1.15446,1.00192,1.22271,0.00021471,0.00021471,0.00021471
90,1614.12,0.69186,0.48036,0.95784,0.72096,0.76821,0.78923,0.54834,1.16078,0.96788,1.23392,0.000198206,0.000198206,0.000198206
91,1632.86,0.63427,0.37028,0.93505,0.7599,0.71698,0.79653,0.56484,1.14696,0.96566,1.22886,0.000181703,0.000181703,0.000181703
92,1650.88,0.6013,0.36988,0.94774,0.7567,0.70782,0.79409,0.55552,1.14647,1.01277,1.21989,0.0001652,0.0001652,0.0001652
93,1668.62,0.5883,0.35349,0.93556,0.74671,0.75733,0.80038,0.55487,1.16099,0.94317,1.23513,0.000148696,0.000148696,0.000148696
94,1683.79,0.58987,0.35772,0.92617,0.70335,0.80124,0.78592,0.55404,1.15305,0.96076,1.22873,0.000132193,0.000132193,0.000132193
95,1702.15,0.5832,0.35276,0.92574,0.7131,0.80522,0.79649,0.55969,1.137,0.9472,1.2304,0.00011569,0.00011569,0.00011569
96,1719.79,0.5814,0.34182,0.92787,0.75754,0.76726,0.79399,0.56347,1.15567,0.93915,1.22519,9.91865e-05,9.91865e-05,9.91865e-05
97,1737.04,0.58738,0.34629,0.92872,0.7192,0.83525,0.79172,0.56199,1.15452,0.95693,1.22663,8.26832e-05,8.26832e-05,8.26832e-05
98,1749.47,0.55835,0.32881,0.91395,0.75418,0.77843,0.80032,0.56742,1.14437,0.94423,1.22603,6.61799e-05,6.61799e-05,6.61799e-05
99,1767.86,0.56062,0.33993,0.92568,0.7309,0.79536,0.79876,0.56535,1.13735,0.94384,1.23009,4.96766e-05,4.96766e-05,4.96766e-05
100,1785.57,0.55682,0.32497,0.91091,0.71594,0.81105,0.79138,0.55985,1.13772,0.96557,1.23173,3.31733e-05,3.31733e-05,3.31733e-05
